Cond.         C1      C2     C3    C4     C5     C6    C7 
expData1 = [ 0.1     0.7   0.8    0.1      1    0.6   0.7;   %A
             0.2     0.9     0	  0.4      1	  0   0.1;   %B
             0.1     0.8   0.1    0.7      1    0.9   0.7;   %C
               0       1   0.8    0.9    0.9	  0   0.9;   %D
               0     0.9     0	    1 	 0.7    0.7   0.8];  %E


        
Cond.        C8   C9   C10     C11    C12    C13  C14
expData2 = [0.2  0.9   0.9       1      0    0.9  0.8;   %A
            0.1    1   0.7     0.8    0.8    0.7  0.6;   %B
            0.3  0.7   0.7     0.6    0.8    0.8  0.8;   %C
            0.4  0.7     1     0.9      1    0.8  0.7;   %D
              1    0     0       0      0    0.2  0.1];  %E
